3.1600000E+0,0.0000000E+0,2.1232843E-2,4.2935217E-1,2.8162616E+5,1.2205892E+4,2.4874647E+2,0.0000000E+0
6.2410000E+0,1.0000000E+0,4.9513169E-2,4.4933384E-1,2.0008970E+5,1.2140203E+4,1.2285188E+2,5.0000000E-2
9.3640000E+0,2.0000000E+0,7.1170219E-2,4.4434184E-1,1.1981647E+4,1.2035637E+4,2.2762328E+2,1.0000000E-1
1.2425000E+1,3.0000000E+0,1.4644812E-1,4.4613793E-1,4.6709014E+2,1.1966126E+4,3.5746784E+2,1.5000000E-1
1.5498000E+1,4.0000000E+0,2.2968767E-1,4.6330731E-1,1.7075902E+5,1.1863847E+4,3.4714894E+2,2.0000000E-1
1.8554000E+1,5.0000000E+0,2.3013135E-1,5.2666704E-1,9.4650039E+5,1.1782099E+4,3.4000788E+1,2.5000000E-1
2.1613000E+1,6.0000000E+0,2.8242615E-1,1.3108501E+0,7.7782295E+6,1.1684153E+4,2.4809394E+2,3.0000000E-1
2.4688000E+1,7.0000000E+0,3.1783911E-1,5.9278306E-1,2.5007248E+6,1.1627125E+4,1.8033855E+1,3.5000000E-1
2.7716000E+1,8.0000000E+0,3.4838525E-1,6.4938760E-1,5.9514167E+6,1.1537761E+4,1.9462580E+2,4.0000000E-1
3.0777000E+1,9.0000000E+0,4.0725273E-1,7.1750239E-1,3.6789923E+6,1.1466364E+4,2.1197254E+2,4.5000000E-1
3.3824000E+1,1.0000000E+1,4.5044829E-1,7.9888252E-1,4.0757843E+3,1.1338131E+4,9.9718433E+1,5.0000000E-1
3.6865000E+1,1.1000000E+1,5.3068496E-1,8.5662935E-1,3.3182582E+3,1.1261276E+4,1.5566221E+2,5.5000000E-1
3.9893000E+1,1.2000000E+1,5.8951953E-1,8.9647915E-1,4.2141026E+3,1.1173444E+4,3.9830810E+1,6.0000000E-1
4.2949000E+1,1.3000000E+1,5.9612109E-1,9.2868325E-1,3.2164315E+6,1.1052682E+4,2.1009891E+1,6.5000000E-1
4.6007000E+1,1.4000000E+1,6.6758081E-1,9.3189668E-1,6.3848432E+3,1.0976076E+4,1.2898701E+2,7.0000000E-1
4.9044000E+1,1.5000000E+1,6.8204722E-1,9.2591763E-1,4.7854643E+6,1.0902139E+4,3.1438859E+2,7.5000000E-1
5.2087000E+1,1.6000000E+1,7.1171904E-1,9.2643872E-1,4.7526912E+3,1.0860012E+4,1.6646364E+2,8.0000000E-1
5.5143000E+1,1.7000000E+1,7.7097681E-1,9.0639907E-1,3.1393913E+6,1.0759416E+4,2.3450782E+1,8.5000000E-1
5.8209000E+1,1.8000000E+1,8.0699277E-1,8.6168408E-1,3.6510894E+3,1.0646661E+4,9.9369966E+1,9.0000000E-1
6.1254000E+1,1.9000000E+1,8.7830234E-1,8.0887446E-1,1.0996283E+4,1.0568370E+4,1.3658116E+2,9.5000000E-1
6.4300000E+1,2.0000000E+1,9.5156689E-1,7.0641226E-1,4.9149031E+6,1.0426824E+4,3.2703309E+2,1.0000000E+0
6.7342000E+1,2.1000000E+1,9.5155249E-1,6.9686860E-1,5.0012809E+3,1.0412202E+4,2.7492491E+2,1.0500000E+0
7.0384000E+1,2.2000000E+1,1.0172073E+0,5.8479072E-1,5.5068012E+6,1.0280676E+4,3.5706476E+2,1.1000000E+0
7.3431000E+1,2.3000000E+1,1.0718731E+0,5.0371621E-1,3.3922900E+6,1.0168086E+4,3.2366243E+2,1.1500000E+0
7.6479000E+1,2.4000000E+1,1.1145966E+0,4.6224492E-1,6.2755164E+5,1.0093151E+4,3.5869559E+2,1.2000000E+0
7.9523000E+1,2.5000000E+1,1.1276044E+0,4.5603228E-1,1.8295935E+5,1.0069899E+4,1.8312881E+2,1.2500000E+0
8.2565000E+1,2.6000000E+1,1.3092309E+0,4.1952988E-1,1.9049057E+6,9.8702902E+3,1.4835282E+2,1.3000000E+0
8.5607000E+1,2.7000000E+1,1.2917990E+0,4.1396987E-1,3.5822524E+3,9.9093762E+3,1.1114171E+2,1.3500000E+0
8.8649000E+1,2.8000000E+1,1.3311605E+0,4.7685454E-1,3.7539167E+3,9.6977814E+3,9.4741436E+1,1.4000000E+0
9.1696000E+1,2.9000000E+1,1.3600668E+0,4.8781768E-1,3.1648401E+6,9.6801087E+3,1.4107364E+1,1.4500000E+0
9.4744000E+1,3.0000000E+1,1.4157534E+0,5.8382041E-1,6.4585955E+4,9.5475370E+3,2.9906725E+2,1.5000000E+0
9.7791000E+1,3.1000000E+1,1.4764675E+0,6.4265469E-1,3.0616354E+3,9.4735754E+3,1.5448041E+2,1.5500000E+0
1.0083300E+2,3.2000000E+1,1.4921827E+0,6.8597822E-1,1.8686510E+6,9.4354016E+3,1.4656378E+2,1.6000000E+0
1.0387500E+2,3.3000000E+1,1.5052179E+0,7.6605542E-1,3.5005039E+3,9.3641060E+3,1.1777828E+2,1.6500000E+0
1.0691800E+2,3.4000000E+1,1.6156539E+0,8.6505762E-1,2.5101594E+3,9.2368989E+3,2.0310582E+2,1.7000000E+0
1.0996200E+2,3.5000000E+1,1.6722822E+0,9.5238818E-1,4.6464743E+3,9.1386375E+3,1.0603600E+2,1.7500000E+0
1.1300800E+2,3.6000000E+1,1.6729736E+0,9.6738931E-1,1.1424093E+4,9.1103583E+3,3.0553137E+2,1.8000000E+0
1.1605200E+2,3.7000000E+1,1.7081959E+0,1.0279036E+0,3.5188097E+3,9.0104660E+3,1.1436885E+2,1.8500000E+0
